WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
1405,14,5,JUNE,6,"20,21"
1405,14,5,JULY,7,"25,26"
1405,14,5,AUGUST,8,"28,29"
1405,14,5,OCTOBER,10,"2,3"
1405,14,5,NOVEMBER,11,"6,7"
1406,14,6,APRIL,4,"16,17"
1406,14,6,MAY,5,"18,21"
1406,14,6,JUNE,6,"22,25"
1406,14,6,JULY,7,"27,30"
1406,14,6,AUGUST,8,"30,31"
1406,14,6,OCTOBER,10,"4,5"
1406,14,6,NOVEMBER,11,"8,9"
1407,14,7,APRIL,4,"18,19"
1407,14,7,MAY,5,"22,23"
1407,14,7,JUNE,6,"26,27"
1407,14,7,JULY,7,31
1407,14,7,AUGUST,8,1
1407,14,7,SEPTEMBER,9,"4,5"
1407,14,7,OCTOBER,10,"9,10"
1407,14,7,NOVEMBER,11,"12,13"
1408,14,8,APRIL,4,"20,23"
1408,14,8,MAY,5,"24,25"
1408,14,8,JUNE,6,"28,29"
1408,14,8,AUGUST,8,"2,3"
1408,14,8,SEPTEMBER,9,"6,7"
1408,14,8,OCTOBER,10,"11,12"
1408,14,8,NOVEMBER,11,"14,15"
1409,14,9,APRIL,4,"24,25"
1409,14,9,MAY,5,"29,30"
1409,14,9,JULY,7,"2,3"
1409,14,9,AUGUST,8,"6,7"
1409,14,9,SEPTEMBER,9,"10,11"
1409,14,9,OCTOBER,10,"15,16"
1409,14,9,NOVEMBER,11,16
1410,14,10,APRIL,4,"26,27"
1410,14,10,MAY,5,31
1410,14,10,JUNE,6,1
1410,14,10,JULY,7,"5,6"
1410,14,10,AUGUST,8,"8,9"
1410,14,10,SEPTEMBER,9,"12,13"
1410,14,10,OCTOBER,10,"17,18"
1411,14,11,APRIL,4,30
1411,14,11,MAY,5,1
1411,14,11,JUNE,6,"4,5"
1411,14,11,JULY,7,"9,10"
1411,14,11,AUGUST,8,"10,13"
1411,14,11,SEPTEMBER,9,"14,17"
1411,14,11,OCTOBER,10,"19,22"
1412,14,12,MAY,5,"2,3"
1412,14,12,JUNE,6,"6,7"
1412,14,12,JULY,7,"11,12"
1412,14,12,AUGUST,8,"14,15"
1412,14,12,SEPTEMBER,9,"18,19"
1412,14,12,OCTOBER,10,"23,24"
1501,15,1,APRIL,4,"2,3"
1501,15,1,MAY,5,31
1501,15,1,JUNE,6,1
1501,15,1,JULY,7,31
1501,15,1,AUGUST,8,1
1501,15,1,SEPTEMBER,9,28
1501,15,1,OCTOBER,10,1
1502,15,2,APRIL,4,"4,5"
1502,15,2,JUNE,6,"4,5"
1502,15,2,AUGUST,8,"2,3"
1502,15,2,OCTOBER,10,"2,3"
1503,15,3,APRIL,4,"6,9"
1503,15,3,JUNE,6,"6,7"
1503,15,3,AUGUST,8,"6,7"
1503,15,3,OCTOBER,10,"4,5"
1504,15,4,APRIL,4,"10,11"
1504,15,4,JUNE,6,"8,11"
1504,15,4,AUGUST,8,"8,9"
1504,15,4,OCTOBER,10,"9,10"
1505,15,5,APRIL,4,"12,13"
1505,15,5,JUNE,6,"12,13"
1505,15,5,AUGUST,8,"10,13"
1505,15,5,OCTOBER,10,"11,12"
1506,15,6,APRIL,4,"16,17"
1506,15,6,JUNE,6,"14,15"
1506,15,6,AUGUST,8,"14,15"
1506,15,6,OCTOBER,10,"15,16"
1507,15,7,APRIL,4,"18,19"
1507,15,7,JUNE,6,"18,19"
1507,15,7,AUGUST,8,"16,17"
1507,15,7,OCTOBER,10,"17,18"
1508,15,8,APRIL,4,"20,23"
1508,15,8,JUNE,6,"20,21"
1508,15,8,AUGUST,8,"20,21"
1508,15,8,OCTOBER,10,"19,22"
1509,15,9,APRIL,4,"24,25"
1509,15,9,JUNE,6,"22,25"
1509,15,9,AUGUST,8,"22,23"
1509,15,9,OCTOBER,10,"23,24"
1510,15,10,APRIL,4,"26,27"
1510,15,10,JUNE,6,"26,27"
1510,15,10,AUGUST,8,"24,27"
1510,15,10,OCTOBER,10,"25,26"
1511,15,11,APRIL,4,30
1511,15,11,MAY,5,1
1511,15,11,JUNE,6,"28,29"
1511,15,11,AUGUST,8,"28,29"
1511,15,11,OCTOBER,10,"29,30"
1512,15,12,MAY,5,"2,3"
1512,15,12,JULY,7,"2,3"
1512,15,12,AUGUST,8,"30,31"
1512,15,12,OCTOBER,10,31
1512,15,12,NOVEMBER,11,1
1513,15,13,MAY,5,"4,7"
1513,15,13,JULY,7,"5,6"
1513,15,13,SEPTEMBER,9,"4,5"
1513,15,13,NOVEMBER,11,"2,5"
1514,15,14,MAY,5,"8,9"
1514,15,14,JULY,7,"9,10"
1514,15,14,SEPTEMBER,9,"6,7"
1514,15,14,NOVEMBER,11,"6,7"
1515,15,15,MAY,5,"10,11"
1515,15,15,JULY,7,"11,12"
1515,15,15,SEPTEMBER,9,"10,11"
1515,15,15,NOVEMBER,11,"8,9"
1516,15,16,MAY,5,"14,15"
1516,15,16,JULY,7,"13,16"
1516,15,16,SEPTEMBER,9,"12,13"
1516,15,16,NOVEMBER,11,"12,13"
1517,15,17,MAY,5,"16,17"
1517,15,17,JULY,7,"17,18"
1517,15,17,SEPTEMBER,9,"14,17"
1517,15,17,NOVEMBER,11,"14,15"
1518,15,18,MAY,5,"18,21"
1518,15,18,JULY,7,"19,20"
1518,15,18,SEPTEMBER,9,"18,19"
1518,15,18,NOVEMBER,11,16
1519,15,19,MAY,5,"22,23"
1519,15,19,JULY,7,"23,24"
1519,15,19,SEPTEMBER,9,"20,21"
1520,15,20,MAY,5,"24,25"
1520,15,20,JULY,7,"25,26"
1520,15,20,SEPTEMBER,9,"24,25"
1521,15,21,MAY,5,"29,30"
1521,15,21,JULY,7,"27,30"
1521,15,21,SEPTEMBER,9,"26,27"
1601,16,1,APRIL,4,"2,3"
1601,16,1,JUNE,6,"6,7"
1601,16,1,AUGUST,8,"10,13"
1601,16,1,OCTOBER,10,"17,18"
1602,16,2,APRIL,4,"4,5"
1602,16,2,JUNE,6,"8,11"
1602,16,2,AUGUST,8,"14,15"
1602,16,2,OCTOBER,10,"19,22"
1603,16,3,APRIL,4,"6,9"
1603,16,3,JUNE,6,"12,13"
1603,16,3,AUGUST,8,"16,17"
1603,16,3,OCTOBER,10,"23,24"
1604,16,4,APRIL,4,"10,11"
1604,16,4,JUNE,6,"14,15"
1604,16,4,AUGUST,8,"20,21"
1604,16,4,OCTOBER,10,"25,26"
1605,16,5,APRIL,4,"12,13"
1605,16,5,JUNE,6,"18,19"
1605,16,5,AUGUST,8,"22,23"
1605,16,5,OCTOBER,10,"29,30"
1606,16,6,APRIL,4,"16,17"
1606,16,6,JUNE,6,"20,21"
1606,16,6,AUGUST,8,"24,27"
1606,16,6,OCTOBER,10,31
1606,16,6,NOVEMBER,11,1
1607,16,7,APRIL,4,"18,19"
1607,16,7,JUNE,6,"22,25"
1607,16,7,AUGUST,8,"28,29"
1607,16,7,NOVEMBER,11,"2,5"
1608,16,8,APRIL,4,"20,23"
1608,16,8,JUNE,6,"26,27"
1608,16,8,AUGUST,8,"30,31"
1608,16,8,NOVEMBER,11,"6,7"
1609,16,9,APRIL,4,"24,25"
1609,16,9,JUNE,6,"28,29"
1609,16,9,SEPTEMBER,9,"4,5"
1609,16,9,NOVEMBER,11,"8,9"
1610,16,10,APRIL,4,"26,27"
1610,16,10,JULY,7,"2,3"
1610,16,10,SEPTEMBER,9,"6,7"
1610,16,10,NOVEMBER,11,"12,13"
1611,16,11,APRIL,4,30
1611,16,11,MAY,5,1
1611,16,11,JULY,7,"5,6"
1611,16,11,SEPTEMBER,9,"10,11"
1611,16,11,NOVEMBER,11,"14,15"
1612,16,12,MAY,5,"2,3"
1612,16,12,JULY,7,"9,10"
1612,16,12,SEPTEMBER,9,"12,13"
1612,16,12,NOVEMBER,11,16
1613,16,13,MAY,5,"4,7"
1613,16,13,JULY,7,"11,12"
1613,16,13,SEPTEMBER,9,"14,17"
1614,16,14,MAY,5,"8,9"
1614,16,14,JULY,7,"13,16"
1614,16,14,SEPTEMBER,9,"18,19"
1615,16,15,MAY,5,"10,11"
1615,16,15,JULY,7,"17,18"
1615,16,15,SEPTEMBER,9,"20,21"
1616,16,16,MAY,5,"14,15"
1616,16,16,JULY,7,"19,20"
1616,16,16,SEPTEMBER,9,"24,25"
1617,16,17,MAY,5,"16,17"
1617,16,17,JULY,7,"23,24"
1617,16,17,SEPTEMBER,9,"26,27"
1618,16,18,MAY,5,"18,21"
1618,16,18,JULY,7,"25,26"
1618,16,18,SEPTEMBER,9,28
1618,16,18,OCTOBER,10,1
1619,16,19,MAY,5,"22,23"
1619,16,19,JULY,7,"27,30"
1619,16,19,SEPTEMBER,9,"2,3"
1620,16,20,MAY,5,"24,25"
1620,16,20,JULY,7,31
1620,16,20,AUGUST,8,1
1620,16,20,OCTOBER,10,"4,5"
1621,16,21,MAY,5,"29,30"
1621,16,21,AUGUST,8,"2,3"
1621,16,21,OCTOBER,10,"9,10"
1622,16,22,MAY,5,31
1622,16,22,JUNE,6,1
1622,16,22,AUGUST,8,"6,7"
1622,16,22,OCTOBER,10,"11,12"
1623,16,23,JUNE,6,"4,5"
1623,16,23,AUGUST,8,"8,9"
1623,16,23,OCTOBER,10,"15,16"
1701,17,1,APRIL,4,"2,3"
1701,17,1,MAY,5,"22,23"
1701,17,1,JULY,7,"13,16"
1701,17,1,SEPTEMBER,9,"4,5"
1701,17,1,OCTOBER,10,"25,26"
1702,17,2,APRIL,4,"4,5"
1702,17,2,MAY,5,"24,25"
1702,17,2,JULY,7,"17,18"
1702,17,2,SEPTEMBER,9,"6,7"
1702,17,2,OCTOBER,10,"29,30"
1703,17,3,APRIL,4,"6,9"
1703,17,3,MAY,5,"29,30"
1703,17,3,JULY,7,"19,20"
1703,17,3,SEPTEMBER,9,"10,11"
1703,17,3,OCTOBER,10,31
1703,17,3,NOVEMBER,11,1
1704,17,4,APRIL,4,"10,11"
1704,17,4,MAY,5,31
1704,17,4,JUNE,6,1
1704,17,4,JULY,7,"23,24"
1704,17,4,SEPTEMBER,9,"12,13"
1704,17,4,NOVEMBER,11,"2,5"
1705,17,5,APRIL,4,"12,13"
1705,17,5,JUNE,6,"4,5"
1705,17,5,JULY,7,"25,26"
1705,17,5,SEPTEMBER,9,"14,17"
1705,17,5,NOVEMBER,11,"6,7"
1706,17,6,APRIL,4,"16,17"
1706,17,6,JUNE,6,"6,7"
1706,17,6,JULY,7,"29,30"
1706,17,6,SEPTEMBER,9,"18,19"
1706,17,6,NOVEMBER,11,"8,9"
1707,17,7,APRIL,4,"18,19"
1707,17,7,JUNE,6,"8,11"
1707,17,7,JULY,7,31
1707,17,7,AUGUST,8,1
1707,17,7,SEPTEMBER,9,"20,21"
1707,17,7,NOVEMBER,11,"12,13"
1708,17,8,APRIL,4,"20,23"
1708,17,8,JUNE,6,"12,13"
1708,17,8,AUGUST,8,"2,3"
1708,17,8,SEPTEMBER,9,"24,25"
1708,17,8,NOVEMBER,11,"14,15"
1709,17,9,APRIL,4,"24,25"
1709,17,9,JUNE,6,"14,15"
1709,17,9,AUGUST,8,"6,7"
1709,17,9,SEPTEMBER,9,"26,27"
1709,17,9,NOVEMBER,11,16
1710,17,10,APRIL,4,"26,27"
1710,17,10,JUNE,6,"18,19"
1710,17,10,AUGUST,8,"8,9"
1710,17,10,SEPTEMBER,9,28
1710,17,10,OCTOBER,10,1
1711,17,11,APRIL,4,30
1711,17,11,MAY,5,1
1711,17,11,JUNE,6,"20,21"
1711,17,11,AUGUST,8,"10,13"
1711,17,11,OCTOBER,10,"2,3"
1712,17,12,MAY,5,"2,3"
1712,17,12,JUNE,6,"22,25"
1712,17,12,AUGUST,8,"14,15,"
1712,17,12,OCTOBER,10,"4,5"
1713,17,13,MAY,5,"4,7"
1713,17,13,JUNE,6,"26,27"
1713,17,13,AUGUST,8,"16,17"
1713,17,13,OCTOBER,10,"9,10"
1714,17,14,MAY,5,"8,9"
1714,17,14,JUNE,6,"28,29"
1714,17,14,AUGUST,8,"20,21"
1714,17,14,OCTOBER,10,"11,12"
1715,17,15,MAY,5,"10,11"
1715,17,15,JULY,7,"2,3"
1715,17,15,AUGUST,8,"22,23"
1715,17,15,OCTOBER,10,"15,16"
1716,17,16,MAY,5,"14,15"
1716,17,16,JULY,7,"5,6"
1716,17,16,AUGUST,8,"24,27"
1716,17,16,OCTOBER,10,"17,18"
1717,17,17,MAY,5,"16,17"
1717,17,17,JULY,7,"9,10"
1717,17,17,AUGUST,8,"28,29"
1717,17,17,OCTOBER,10,"19,22"
1718,17,18,MAY,5,"18,21"
1718,17,18,JULY,7,"11,12"
1718,17,18,AUGUST,8,"30,31"
1718,17,18,OCTOBER,10,"23,24"
1801,18,1,APRIL,4,"2,3"
1801,18,1,JUNE,6,"27,28"
1801,18,1,SEPTEMBER,9,"21,24"
1802,18,2,APRIL,4,"4,5"
1802,18,2,JUNE,6,29
1802,18,2,JULY,7,2
1802,18,2,SEPTEMBER,9,"25,26"
1803,18,3,APRIL,4,"6,9"
1803,18,3,JULY,7,"3,5"
1803,18,3,SEPTEMBER,9,"27,28"
1804,18,4,APRIL,4,"10,11"
1804,18,4,JULY,7,"6,9"
1804,18,4,OCTOBER,10,"1,2"
1805,18,5,APRIL,4,"12,13"
1805,18,5,JULY,7,"10,11"
1805,18,5,OCTOBER,10,"3,4"
1806,18,6,APRIL,4,"16,17"
1806,18,6,JULY,7,"12,13"
1806,18,6,OCTOBER,10,"5,9"
1807,18,7,APRIL,4,"18,19"
1807,18,7,JULY,7,"16,17"
1807,18,7,OCTOBER,10,"10,11"
1808,18,8,APRIL,4,"20,23"
1808,18,8,JULY,7,"18,19"
1808,18,8,OCTOBER,10,"12,15"
1809,18,9,APRIL,4,"24,25"
1809,18,9,JULY,7,"20,23"
1809,18,9,OCTOBER,10,"16,17"
1810,18,10,APRIL,4,"26,27"
1810,18,10,JULY,7,"24,25"
1810,18,10,OCTOBER,10,"18,19"
1811,18,11,APRIL,4,30
1811,18,11,MAY,5,1
1811,18,11,JULY,7,"26,27"
1811,18,11,SEPTEMBER,9,"22,23"
1812,18,12,MAY,5,"2,3"
1812,18,12,JULY,7,"30,31"
1812,18,12,OCTOBER,10,"24,25"
1813,18,13,MAY,5,"4,7"
1813,18,13,AUGUST,8,"1,2"
1813,18,13,OCTOBER,10,"26,29"
1814,18,14,MAY,5,"8,9"
1814,18,14,AUGUST,8,"3,6"
1814,18,14,OCTOBER,10,"30,31"
1815,18,15,MAY,5,"10,11"
1815,18,15,AUGUST,8,"7,8"
1815,18,15,NOVEMBER,11,"1,2"
1816,18,16,MAY,5,"14,15"
1816,18,16,AUGUST,8,"9,10"
1816,18,16,NOVEMBER,11,"5,6"
1817,18,17,MAY,5,"16,17"
1817,18,17,AUGUST,8,"13,14"
1817,18,17,NOVEMBER,11,"7,8"
1818,18,18,MAY,5,"18,21"
1818,18,18,AUGUST,8,"15,16"
1818,18,18,NOVEMBER,11,"9,12"
1819,18,19,MAY,5,"22,23"
1819,18,19,AUGUST,8,"17,20"
1819,18,19,NOVEMBER,11,"13,14"
1820,18,20,JUNE,6,"24,25"
1820,18,20,AUGUST,8,"21,22"
1820,18,20,NOVEMBER,11,"15,16"
1821,18,21,MAY,5,"29,30"
1821,18,21,AUGUST,8,"23,24"
1822,18,22,MAY,5,31
1822,18,22,JUNE,6,4
1822,18,22,AUGUST,8,"27,28"
1823,18,23,JUNE,6,"5,6"
1823,18,23,AUGUST,8,"29,30"
1824,18,24,JUNE,6,"7,8"
1824,18,24,AUGUST,8,31
1824,18,24,SEPTEMBER,9,4
1825,18,25,JUNE,6,"11,12"
1825,18,25,SEPTEMBER,9,"5,6"
1826,18,26,JUNE,6,"13,14"
1826,18,26,SEPTEMBER,9,"7,10"
1827,18,27,JUNE,6,"15,18"
1827,18,27,SEPTEMBER,9,"11,12"
1828,18,28,JUNE,6,"19,20"
1828,18,28,SEPTEMBER,9,"13,14"
1829,18,29,JUNE,6,"21,22"
1829,18,29,SEPTEMBER,9,"17,18"
1830,18,30,JUNE,6,"25,26"
1830,18,30,SEPTEMBER,9,"19,20"
1901,19,1,APRIL,4,"2,3"
1901,19,1,JUNE,6,"12,13"
1901,19,1,AUGUST,8,"24,27"
1901,19,1,NOVEMBER,11,"6,7"
1902,19,2,APRIL,4,"4,5"
1902,19,2,JUNE,6,"14,15"
1902,19,2,AUGUST,8,"30,31"
1903,19,3,APRIL,4,"6,9"
1903,19,3,JUNE,6,"22,25"
1903,19,3,SEPTEMBER,9,"14,17"
1903,19,3,NOVEMBER,11,"2,5"
1904,19,4,APRIL,4,"10,11"
1904,19,4,JUNE,6,"18,19"
1904,19,4,AUGUST,8,"28,29"
1904,19,4,NOVEMBER,11,"12,13"
1905,19,5,APRIL,4,"12,13"
1905,19,5,JUNE,6,"20,21"
1905,19,5,AUGUST,8,"22,23"
1905,19,5,NOVEMBER,11,"8,9"
1906,19,6,APRIL,4,"16,17"
1906,19,6,JUNE,6,"26,27"
1906,19,6,SEPTEMBER,9,"10,11"
1906,19,6,NOVEMBER,11,16
1907,19,7,APRIL,4,"18,19"
1907,19,7,JUNE,6,"28,29"
1907,19,7,SEPTEMBER,9,"4,5"
1907,19,7,NOVEMBER,11,"14,15"
1908,19,8,APRIL,4,"20,23"
1908,19,8,JULY,7,"2,3"
1908,19,8,SEPTEMBER,9,"18,19"
1909,19,9,APRIL,4,"24,25"
1909,19,9,JULY,7,"9,10"
1909,19,9,SEPTEMBER,9,"6,7"
1910,19,10,APRIL,4,"26,27"
1910,19,10,JULY,7,"5,6"
1910,19,10,SEPTEMBER,9,"20,21"
1911,19,11,APRIL,4,30
1911,19,11,MAY,5,1
1911,19,11,JULY,7,"13,16"
1911,19,11,SEPTEMBER,9,"24,25"
1912,19,12,MAY,5,"2,3"
1912,19,12,JULY,7,"11,12"
1912,19,12,SEPTEMBER,9,"12,13"
1913,19,13,MAY,5,"4,7"
1913,19,13,JULY,7,"19,20"
1913,19,13,OCTOBER,10,"19,22"
1914,19,14,MAY,5,"8,9"
1914,19,14,JULY,7,"17,18"
1914,19,14,OCTOBER,10,"4,5"
1915,19,15,MAY,5,"10,11"
1915,19,15,JULY,7,"23,24"
1915,19,15,SEPTEMBER,9,28
1915,19,15,OCTOBER,10,1
1916,19,16,MAY,5,"14,15"
1916,19,16,JULY,7,31
1916,19,16,AUGUST,8,1
1916,19,16,OCTOBER,10,"2,3"
1917,19,17,MAY,5,"16,17"
1917,19,17,JULY,7,"25,26"
1917,19,17,OCTOBER,10,"11,12"
1918,19,18,MAY,5,"18,21"
1918,19,18,JULY,7,"27,30"
1918,19,18,SEPTEMBER,9,"26,27"
1919,19,19,MAY,5,"22,23"
1919,19,19,AUGUST,8,"6,7"
1919,19,19,OCTOBER,10,"9,10"
1920,19,20,MAY,5,"24,25"
1920,19,20,AUGUST,8,"2,3"
1920,19,20,OCTOBER,10,"25,26"
1921,19,21,APRIL,4,"29,30"
1921,19,21,AUGUST,8,"20,21"
1921,19,21,OCTOBER,10,"15,16"
1922,19,22,MAY,5,31
1922,19,22,JUNE,6,1
1922,19,22,AUGUST,8,"8,9"
1922,19,22,OCTOBER,10,"17,18"
1923,19,23,JUNE,6,"4,5"
1923,19,23,AUGUST,8,"10,13"
1923,19,23,OCTOBER,10,"29,30"
1924,19,24,JUNE,6,"6,7"
1924,19,24,AUGUST,8,"14,15"
1924,19,24,OCTOBER,10,"23,24"
1925,19,25,JUNE,6,"8,11"
1925,19,25,AUGUST,8,"16,17"
1925,19,25,OCTOBER,10,31
1925,19,25,NOVEMBER,11,1
2001,20,1,APRIL,4,"2,3"
2001,20,1,MAY,5,"18,21"
2001,20,1,JULY,7,"9,10"
2001,20,1,AUGUST,8,"24,27"
2001,20,1,OCTOBER,10,"15,,16"
2002,20,2,APRIL,4,"4,5"
2002,20,2,MAY,5,"22,23"
2002,20,2,JULY,7,"11,12"
2002,20,2,AUGUST,8,"28,29"
2002,20,2,OCTOBER,10,"17,18"
2003,20,3,APRIL,4,"6,9"
2003,20,3,MAY,5,"24,25"
2003,20,3,JULY,7,"13,16"
2003,20,3,AUGUST,8,"30,31"
2003,20,3,OCTOBER,10,"19,22"
2004,20,4,APRIL,4,"10,11"
2004,20,4,MAY,5,"29,30"
2004,20,4,JULY,7,"17,18"
2004,20,4,SEPTEMBER,9,"4,5"
2004,20,4,OCTOBER,10,"23,24"
2005,20,5,APRIL,4,"12,13"
2005,20,5,MAY,5,31
2005,20,5,JUNE,6,1
2005,20,5,JULY,7,"19,20"
2005,20,5,SEPTEMBER,9,"6,7"
2005,20,5,OCTOBER,10,"25,26"
2006,20,6,APRIL,4,"16,17"
2006,20,6,JUNE,6,"4,5"
2006,20,6,JULY,7,"23,24"
2006,20,6,SEPTEMBER,9,"10,11"
2006,20,6,OCTOBER,10,"29,30"
2007,20,7,APRIL,4,"18,19"
2007,20,7,JUNE,6,"6,7"
2007,20,7,JULY,7,"25,26"
2007,20,7,SEPTEMBER,9,"12,13"
2007,20,7,OCTOBER,10,31
2007,20,7,NOVEMBER,11,1
2008,20,8,APRIL,4,"20,23"
2008,20,8,JUNE,6,"8,11"
2008,20,8,JULY,7,"27,30"
2008,20,8,SEPTEMBER,9,"14,17"
2008,20,8,NOVEMBER,11,"2,5"
2009,20,9,APRIL,4,"24,25"
2009,20,9,JUNE,6,"12,13"
2009,20,9,JULY,7,31
2009,20,9,AUGUST,8,1
2009,20,9,SEPTEMBER,9,"18,19"
2009,20,9,NOVEMBER,11,"6,7"
2010,20,10,APRIL,4,"26,27"
2010,20,10,JUNE,6,"14,15"
2010,20,10,AUGUST,8,"2,3"
2010,20,10,SEPTEMBER,9,"20,21"
2010,20,10,NOVEMBER,11,"8,9"
2011,20,11,APRIL,4,30
2011,20,11,MAY,5,1
2011,20,11,JUNE,6,"18,19"
2011,20,11,AUGUST,8,"6,7"
2011,20,11,SEPTEMBER,9,"24,25"
2011,20,11,NOVEMBER,11,"12,13"
2012,20,12,MAY,5,"2,3"
2012,20,12,JUNE,6,"20,21"
2012,20,12,AUGUST,8,"8,9"
2012,20,12,SEPTEMBER,9,"26,27"
2012,20,12,NOVEMBER,11,"14,15"
2013,20,13,MAY,5,"4,7"
2013,20,13,JUNE,6,"22,25"
2013,20,13,AUGUST,8,"10,13"
2013,20,13,SEPTEMBER,9,28
2013,20,13,OCTOBER,10,1
2013,20,13,NOVEMBER,11,16
2014,20,14,MAY,5,"8,9"
2014,20,14,JUNE,6,"26,27"
2014,20,14,AUGUST,8,"14,15"
2014,20,14,OCTOBER,10,"2,3"
2015,20,15,MAY,5,"10,11"
2015,20,15,JUNE,6,"28,29"
2015,20,15,AUGUST,8,"16,17"
2015,20,15,OCTOBER,10,"4,5"
2016,20,16,MAY,5,"14,15"
2016,20,16,JULY,7,"2,3"
2016,20,16,AUGUST,8,"20,21"
2016,20,16,OCTOBER,10,"9,10"
2017,20,17,MAY,5,"16,17"
2017,20,17,JULY,7,"5,6"
2017,20,17,AUGUST,8,"22,23"
2017,20,17,OCTOBER,10,"11,12"
2101,21,1,APRIL,4,"2,3"
2101,21,1,MAY,5,"29,30"
2101,21,1,JULY,7,"25,26"
2101,21,1,SEPTEMBER,9,"20,21"
2101,21,1,NOVEMBER,11,16
2102,21,2,APRIL,4,"4,5"
2102,21,2,MAY,5,31
2102,21,2,JUNE,6,1
2102,21,2,JULY,7,"27,30"
2102,21,2,SEPTEMBER,9,"24,25"
2103,21,3,APRIL,4,"6,9"
2103,21,3,JUNE,6,"4,5"
2103,21,3,JULY,7,31
2103,21,3,AUGUST,8,1
2103,21,3,SEPTEMBER,9,"26,27"
2104,21,4,APRIL,4,"10,11"
2104,21,4,JUNE,6,"6,7"
2104,21,4,AUGUST,8,"2,3"
2104,21,4,SEPTEMBER,9,28
2104,21,4,OCTOBER,10,1
2105,21,5,APRIL,4,"12,13"
2105,21,5,JUNE,6,"8,11"
2105,21,5,AUGUST,8,"6,7"
2105,21,5,OCTOBER,10,"2,3"
2106,21,6,APRIL,4,"16,17"
2106,21,6,JUNE,6,"12,13"
2106,21,6,AUGUST,8,"8,9"
2106,21,6,OCTOBER,10,"4,5"
2107,21,7,APRIL,4,"18,19,"
2107,21,7,JUNE,6,"14,15"
2107,21,7,AUGUST,8,"10,13"
2107,21,7,OCTOBER,10,"9,10"
2108,21,8,APRIL,4,"20,23"
2108,21,8,JUNE,6,"18,19"
2108,21,8,AUGUST,8,"14,15"
2108,21,8,OCTOBER,10,"11,12"
2109,21,9,APRIL,4,"24,25"
2109,21,9,JUNE,6,"20,21"
2109,21,9,AUGUST,8,"16,17"
2109,21,9,OCTOBER,10,"15,16"
2110,21,10,APRIL,4,"26,27"
2110,21,10,JUNE,6,"22,25"
2110,21,10,AUGUST,8,"20,21"
2110,21,10,OCTOBER,10,"17,18"
2111,21,11,APRIL,4,30
2111,21,11,MAY,5,1
2111,21,11,JUNE,6,"26,27"
2111,21,11,AUGUST,8,"22,23"
2111,21,11,OCTOBER,10,"19,22"
2112,21,12,MAY,5,"2,3"
2112,21,12,JUNE,6,"28,29"
2112,21,12,AUGUST,8,"24,27"
2112,21,12,OCTOBER,10,"23,24"
2113,21,13,MAY,5,"4,7"
2113,21,13,JULY,7,"2,3"
2113,21,13,AUGUST,8,"28,29"
2113,21,13,OCTOBER,10,"25,26"
2114,21,14,MAY,5,"8,9"
2114,21,14,JULY,7,"5,6"
2114,21,14,AUGUST,8,"30,31"
2114,21,14,OCTOBER,10,"29,30"
2115,21,15,MAY,5,"10,11"
2115,21,15,JULY,7,"9,10"
2115,21,15,SEPTEMBER,9,"4,5"
2115,21,15,OCTOBER,10,31
2115,21,15,NOVEMBER,11,1
2116,21,16,MAY,5,"14,15"
2116,21,16,JULY,7,"11,12"
2116,21,16,SEPTEMBER,9,"6,7"
2116,21,16,NOVEMBER,11,"2,5"
2117,21,17,MAY,5,"16,17"
2117,21,17,JULY,7,"13,16"
2117,21,17,SEPTEMBER,9,"10,11"
2117,21,17,NOVEMBER,11,"6,7"
2118,21,18,MAY,5,"18,21"
2118,21,18,JULY,7,"17,18"
2118,21,18,SEPTEMBER,9,"12,13"
2118,21,18,NOVEMBER,11,"8,9"
2119,21,19,MAY,5,"22,23"
2119,21,19,JULY,7,"19,20"
2119,21,19,SEPTEMBER,9,"14,17"
2119,21,19,NOVEMBER,11,"12,13"
2120,21,20,MAY,5,"24,25"
2120,21,20,JULY,7,"23,24"
2120,21,20,SEPTEMBER,9,"18,19"
2120,21,20,NOVEMBER,11,"14,15"
2201,22,1,APRIL,4,"2,3,30"
2201,22,1,MAY,5,"1,29,30"
2201,22,1,JUNE,6,"26,27"
2201,22,1,JULY,7,"25,26"
2201,22,1,AUGUST,8,"22,23"
2201,22,1,SEPTEMBER,9,"20,21"
2201,22,1,OCTOBER,10,"19,22"
2201,22,1,NOVEMBER,11,16
2202,22,2,APRIL,4,"4,5"
2202,22,2,MAY,5,"2,3,31"
2202,22,2,JUNE,6,"1,28,29"
2202,22,2,JULY,7,"27,30"
2202,22,2,AUGUST,8,"24,27"
2202,22,2,SEPTEMBER,9,"24,25"
2202,22,2,OCTOBER,10,"23,24"
2203,22,3,APRIL,4,"6,9"
2203,22,3,MAY,5,"4,7"
2203,22,3,JUNE,6,"4,5"
2203,22,3,JULY,7,"2,3,31"
2203,22,3,AUGUST,8,"1,28,29"
2203,22,3,SEPTEMBER,9,"26,27"
2203,22,3,OCTOBER,10,"25,26"
2204,22,4,APRIL,4,"10,11"
2204,22,4,MAY,5,"8,9"
2204,22,4,JUNE,6,"6,7"
2204,22,4,JULY,7,"5,6"
2204,22,4,AUGUST,8,"2,3,30,31"
2204,22,4,SEPTEMBER,9,28
2204,22,4,OCTOBER,10,"1,29,30"
